name,codes,char,groupes,subgroupes
office building,1F3E2,🏢,Travel & Places,place-building
person,1F9D1,🧑,People & Body,person
oil drum,1F6E2,🛢,Travel & Places,transport-ground
OK button,1F197,🆗,Symbols,alphanum
OK hand,1F44C,👌,People & Body,hand-fingers-partial
person gesturing OK,1F646,🙆,People & Body,person-gesture
person gesturing OK,1F646,🙆,People & Body,person-gesture
person gesturing OK,1F646,🙆,People & Body,person-gesture
old key,1F5DD,🗝,Objects,lock
older person,1F9D3,🧓,People & Body,person
old man,1F474,👴,People & Body,person
old woman,1F475,👵,People & Body,person
om,1F549,🕉,Symbols,religion
ON! arrow,1F51B,🔛,Symbols,arrow
oncoming automobile,1F698,🚘,Travel & Places,transport-ground
oncoming bus,1F68D,🚍,Travel & Places,transport-ground
oncoming police car,1F694,🚔,Travel & Places,transport-ground
oncoming taxi,1F696,🚖,Travel & Places,transport-ground
keycap: 1,0031 20E3,1⃣,Symbols,keycap
one-piece swimsuit,1FA71,🩱,Objects,clothing
onion,1F9C5,🧅,Food & Drink,food-vegetable
open book,1F4D6,📖,Objects,book-paper
open file folder,1F4C2,📂,Objects,office
open hands,1F450,👐,People & Body,hands
face with open mouth,1F62E,😮,Smileys & Emotion,face-concerned
umbrella,2602,☂,Travel & Places,sky & weather
Ophiuchus,26CE,⛎,Symbols,zodiac
tangerine,1F34A,🍊,Food & Drink,food-fruit
orange book,1F4D9,📙,Objects,book-paper
orange circle,1F7E0,🟠,Symbols,geometric
orange heart,1F9E1,🧡,Smileys & Emotion,emotion
orange square,1F7E7,🟧,Symbols,geometric
orangutan,1F9A7,🦧,Animals & Nature,animal-mammal
orthodox cross,2626,☦,Symbols,religion
otter,1F9A6,🦦,Animals & Nature,animal-mammal
outbox tray,1F4E4,📤,Objects,mail
owl,1F989,🦉,Animals & Nature,animal-bird
ox,1F402,🐂,Animals & Nature,animal-mammal
oyster,1F9AA,🦪,Food & Drink,food-marine
package,1F4E6,📦,Objects,mail
page facing up,1F4C4,📄,Objects,book-paper
page with curl,1F4C3,📃,Objects,book-paper
pager,1F4DF,📟,Objects,phone
paintbrush,1F58C,🖌,Objects,writing
palm tree,1F334,🌴,Animals & Nature,plant-other
palms up together,1F932,🤲,People & Body,hands
pancakes,1F95E,🥞,Food & Drink,food-prepared
panda,1F43C,🐼,Animals & Nature,animal-mammal
paperclip,1F4CE,📎,Objects,office
linked paperclips,1F587,🖇,Objects,office
parachute,1FA82,🪂,Travel & Places,transport-air
umbrella on ground,26F1,⛱,Travel & Places,sky & weather
P button,1F17F,🅿,Symbols,alphanum
parrot,1F99C,🦜,Animals & Nature,animal-bird
part alternation mark,303D,〽,Symbols,other-symbol
sun behind cloud,26C5,⛅,Travel & Places,sky & weather
partying face,1F973,🥳,Smileys & Emotion,face-hat
passenger ship,1F6F3,🛳,Travel & Places,transport-water
passport control,1F6C2,🛂,Symbols,transport-sign
pause button,23F8,⏸,Symbols,av-symbol
paw prints,1F43E,🐾,Animals & Nature,animal-mammal
peace symbol,262E,☮,Symbols,religion
peach,1F351,🍑,Food & Drink,food-fruit
peacock,1F99A,🦚,Animals & Nature,animal-bird
peanuts,1F95C,🥜,Food & Drink,food-vegetable
pear,1F350,🍐,Food & Drink,food-fruit
pen,1F58A,🖊,Objects,writing
memo,1F4DD,📝,Objects,writing
pencil,270F,✏,Objects,writing
penguin,1F427,🐧,Animals & Nature,animal-bird
pensive face,1F614,😔,Smileys & Emotion,face-sleepy
handshake,1F91D,🤝,People & Body,hands
performing arts,1F3AD,🎭,Activities,arts & crafts
persevering face,1F623,😣,Smileys & Emotion,face-concerned
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
person fencing,1F93A,🤺,People & Body,person-sport
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
person wearing turban,1F473,👳,People & Body,person-role
petri dish,1F9EB,🧫,Objects,science
telephone,260E,☎,Objects,phone
pick,26CF,⛏,Objects,tool
pie,1F967,🥧,Food & Drink,food-sweet
pig face,1F437,🐷,Animals & Nature,animal-mammal
pig,1F416,🐖,Animals & Nature,animal-mammal
pig nose,1F43D,🐽,Animals & Nature,animal-mammal
pill,1F48A,💊,Objects,medical
person,1F9D1,🧑,People & Body,person
pinching hand,1F90F,🤏,People & Body,hand-fingers-partial
pineapple,1F34D,🍍,Food & Drink,food-fruit
ping pong,1F3D3,🏓,Activities,sport
skull and crossbones,2620,☠,Smileys & Emotion,face-negative
Pisces,2653,♓,Symbols,zodiac
pizza,1F355,🍕,Food & Drink,food-prepared
place of worship,1F6D0,🛐,Symbols,religion
fork and knife with plate,1F37D,🍽,Food & Drink,dishware
play or pause button,23EF,⏯,Symbols,av-symbol
pleading face,1F97A,🥺,Smileys & Emotion,face-concerned
backhand index pointing down,1F447,👇,People & Body,hand-single-finger
backhand index pointing left,1F448,👈,People & Body,hand-single-finger
backhand index pointing right,1F449,👉,People & Body,hand-single-finger
index pointing up,261D,☝,People & Body,hand-single-finger
backhand index pointing up,1F446,👆,People & Body,hand-single-finger
police car,1F693,🚓,Travel & Places,transport-ground
police officer,1F46E,👮,People & Body,person-role
police officer,1F46E,👮,People & Body,person-role
police officer,1F46E,👮,People & Body,person-role
poodle,1F429,🐩,Animals & Nature,animal-mammal
pile of poo,1F4A9,💩,Smileys & Emotion,face-costume
popcorn,1F37F,🍿,Food & Drink,food-prepared
Japanese post office,1F3E3,🏣,Travel & Places,place-building
postal horn,1F4EF,📯,Objects,sound
postbox,1F4EE,📮,Objects,mail
potable water,1F6B0,🚰,Symbols,transport-sign
potato,1F954,🥔,Food & Drink,food-vegetable
clutch bag,1F45D,👝,Objects,clothing
poultry leg,1F357,🍗,Food & Drink,food-prepared
pound banknote,1F4B7,💷,Objects,money
pouting face,1F621,😡,Smileys & Emotion,face-negative
pouting cat,1F63E,😾,Smileys & Emotion,cat-face
person pouting,1F64E,🙎,People & Body,person-gesture
person pouting,1F64E,🙎,People & Body,person-gesture
person pouting,1F64E,🙎,People & Body,person-gesture
folded hands,1F64F,🙏,People & Body,hands
prayer beads,1F4FF,📿,Objects,clothing
pregnant woman,1F930,🤰,People & Body,person-role
pretzel,1F968,🥨,Food & Drink,food-prepared
last track button,23EE,⏮,Symbols,av-symbol
prince,1F934,🤴,People & Body,person-role
princess,1F478,👸,People & Body,person-role
printer,1F5A8,🖨,Objects,computer
probing cane,1F9AF,🦯,Objects,tool
oncoming fist,1F44A,👊,People & Body,hand-fingers-closed
purple circle,1F7E3,🟣,Symbols,geometric
purple heart,1F49C,💜,Smileys & Emotion,emotion
purple square,1F7EA,🟪,Symbols,geometric
purse,1F45B,👛,Objects,clothing
pushpin,1F4CC,📌,Objects,office
litter in bin sign,1F6AE,🚮,Symbols,transport-sign
question mark,2753,❓,Symbols,other-symbol
rabbit face,1F430,🐰,Animals & Nature,animal-mammal
rabbit,1F407,🐇,Animals & Nature,animal-mammal
raccoon,1F99D,🦝,Animals & Nature,animal-mammal
horse,1F40E,🐎,Animals & Nature,animal-mammal
racing car,1F3CE,🏎,Travel & Places,transport-ground
radio,1F4FB,📻,Objects,music
radio button,1F518,🔘,Symbols,geometric
radioactive,2622,☢,Symbols,warning
pouting face,1F621,😡,Smileys & Emotion,face-negative
railway car,1F683,🚃,Travel & Places,transport-ground
railway track,1F6E4,🛤,Travel & Places,transport-ground
rainbow,1F308,🌈,Travel & Places,sky & weather
rainbow,1F308,🌈,Travel & Places,sky & weather
raised back of hand,1F91A,🤚,People & Body,hand-fingers-open
face with raised eyebrow,1F928,🤨,Smileys & Emotion,face-neutral-skeptical
raised hand,270B,✋,People & Body,hand-fingers-open
hand with fingers splayed,1F590,🖐,People & Body,hand-fingers-open
raising hands,1F64C,🙌,People & Body,hands
person raising hand,1F64B,🙋,People & Body,person-gesture
person raising hand,1F64B,🙋,People & Body,person-gesture
person raising hand,1F64B,🙋,People & Body,person-gesture
ram,1F40F,🐏,Animals & Nature,animal-mammal
steaming bowl,1F35C,🍜,Food & Drink,food-asian
rat,1F400,🐀,Animals & Nature,animal-mammal
razor,1FA92,🪒,Objects,household
receipt,1F9FE,🧾,Objects,money
record button,23FA,⏺,Symbols,av-symbol
recycling symbol,267B,♻,Symbols,other-symbol
automobile,1F697,🚗,Travel & Places,transport-ground
red circle,1F534,🔴,Symbols,geometric
red envelope,1F9E7,🧧,Activities,event
man,1F468,👨,People & Body,person
woman,1F469,👩,People & Body,person
red square,1F7E5,🟥,Symbols,geometric
registered,00AE,®,Symbols,other-symbol
smiling face,263A,☺,Smileys & Emotion,face-affection
relieved face,1F60C,😌,Smileys & Emotion,face-sleepy
reminder ribbon,1F397,🎗,Activities,event
repeat button,1F501,🔁,Symbols,av-symbol
repeat single button,1F502,🔂,Symbols,av-symbol
rescue worker’s helmet,26D1,⛑,Objects,clothing
restroom,1F6BB,🚻,Symbols,transport-sign
revolving hearts,1F49E,💞,Smileys & Emotion,emotion
fast reverse button,23EA,⏪,Symbols,av-symbol
rhinoceros,1F98F,🦏,Animals & Nature,animal-mammal
ribbon,1F380,🎀,Activities,event
cooked rice,1F35A,🍚,Food & Drink,food-asian
rice ball,1F359,🍙,Food & Drink,food-asian
rice cracker,1F358,🍘,Food & Drink,food-asian
moon viewing ceremony,1F391,🎑,Activities,event
right anger bubble,1F5EF,🗯,Smileys & Emotion,emotion
ring,1F48D,💍,Objects,clothing
ringed planet,1FA90,🪐,Travel & Places,sky & weather
robot,1F916,🤖,Smileys & Emotion,face-costume
rocket,1F680,🚀,Travel & Places,transport-air
rolling on the floor laughing,1F923,🤣,Smileys & Emotion,face-smiling
face with rolling eyes,1F644,🙄,Smileys & Emotion,face-neutral-skeptical
roll of paper,1F9FB,🧻,Objects,household
roller coaster,1F3A2,🎢,Travel & Places,place-other
rooster,1F413,🐓,Animals & Nature,animal-bird
rose,1F339,🌹,Animals & Nature,plant-flower
rosette,1F3F5,🏵,Animals & Nature,plant-flower
police car light,1F6A8,🚨,Travel & Places,transport-ground
round pushpin,1F4CD,📍,Objects,office
person rowing boat,1F6A3,🚣,People & Body,person-sport
person rowing boat,1F6A3,🚣,People & Body,person-sport
person rowing boat,1F6A3,🚣,People & Body,person-sport
rugby football,1F3C9,🏉,Activities,sport
person running,1F3C3,🏃,People & Body,person-activity
person running,1F3C3,🏃,People & Body,person-activity
person running,1F3C3,🏃,People & Body,person-activity
running shirt,1F3BD,🎽,Activities,sport
person running,1F3C3,🏃,People & Body,person-activity
Japanese “service charge” button,1F202,🈂,Symbols,alphanum
safety pin,1F9F7,🧷,Objects,household
safety vest,1F9BA,🦺,Objects,clothing
Sagittarius,2650,♐,Symbols,zodiac
sailboat,26F5,⛵,Travel & Places,transport-water
sake,1F376,🍶,Food & Drink,drink
salt,1F9C2,🧂,Food & Drink,food-prepared
woman’s sandal,1F461,👡,Objects,clothing
sandwich,1F96A,🥪,Food & Drink,food-prepared
Santa Claus,1F385,🎅,People & Body,person-fantasy
sari,1F97B,🥻,Objects,clothing
person tipping hand,1F481,💁,People & Body,person-gesture
person tipping hand,1F481,💁,People & Body,person-gesture
satellite antenna,1F4E1,📡,Objects,science
grinning squinting face,1F606,😆,Smileys & Emotion,face-smiling
person in steamy room,1F9D6,🧖,People & Body,person-activity
person in steamy room,1F9D6,🧖,People & Body,person-activity
person in steamy room,1F9D6,🧖,People & Body,person-activity
sauropod,1F995,🦕,Animals & Nature,animal-reptile
saxophone,1F3B7,🎷,Objects,musical-instrument
scarf,1F9E3,🧣,Objects,clothing
school,1F3EB,🏫,Travel & Places,place-building
backpack,1F392,🎒,Objects,clothing
person,1F9D1,🧑,People & Body,person
scissors,2702,✂,Objects,office
scorpion,1F982,🦂,Animals & Nature,animal-bug
Scorpio,264F,♏,Symbols,zodiac
black flag,1F3F4,🏴,Flags,flag
face screaming in fear,1F631,😱,Smileys & Emotion,face-concerned
weary cat,1F640,🙀,Smileys & Emotion,cat-face
scroll,1F4DC,📜,Objects,book-paper
seat,1F4BA,💺,Travel & Places,transport-air
Japanese “secret” button,3299,㊙,Symbols,alphanum
see-no-evil monkey,1F648,🙈,Smileys & Emotion,monkey-face
seedling,1F331,🌱,Animals & Nature,plant-other
selfie,1F933,🤳,People & Body,hand-prop
dog,1F415,🐕,Animals & Nature,animal-mammal
keycap: 7,0037 20E3,7⃣,Symbols,keycap
shallow pan of food,1F958,🥘,Food & Drink,food-prepared
shamrock,2618,☘,Animals & Nature,plant-other
shark,1F988,🦈,Animals & Nature,animal-marine
shaved ice,1F367,🍧,Food & Drink,food-sweet
ewe,1F411,🐑,Animals & Nature,animal-mammal
spiral shell,1F41A,🐚,Animals & Nature,animal-marine
shield,1F6E1,🛡,Objects,tool
shinto shrine,26E9,⛩,Travel & Places,place-religious
ship,1F6A2,🚢,Travel & Places,transport-water
t-shirt,1F455,👕,Objects,clothing
pile of poo,1F4A9,💩,Smileys & Emotion,face-costume
man’s shoe,1F45E,👞,Objects,clothing
shopping bags,1F6CD,🛍,Objects,clothing
shopping cart,1F6D2,🛒,Objects,household
shorts,1FA73,🩳,Objects,clothing
shower,1F6BF,🚿,Objects,household
shrimp,1F990,🦐,Food & Drink,food-marine
person shrugging,1F937,🤷,People & Body,person-gesture
shushing face,1F92B,🤫,Smileys & Emotion,face-hand
antenna bars,1F4F6,📶,Symbols,av-symbol
person,1F9D1,🧑,People & Body,person
keycap: 6,0036 20E3,6⃣,Symbols,keycap
dotted six-pointed star,1F52F,🔯,Symbols,religion
skateboard,1F6F9,🛹,Travel & Places,transport-ground
skis,1F3BF,🎿,Activities,sport
skier,26F7,⛷,People & Body,person-sport
skull,1F480,💀,Smileys & Emotion,face-negative
skull and crossbones,2620,☠,Smileys & Emotion,face-negative
skunk,1F9A8,🦨,Animals & Nature,animal-mammal
sled,1F6F7,🛷,Activities,sport
sleeping face,1F634,😴,Smileys & Emotion,face-sleepy
person in bed,1F6CC,🛌,People & Body,person-resting
sleepy face,1F62A,😪,Smileys & Emotion,face-sleepy
slightly frowning face,1F641,🙁,Smileys & Emotion,face-concerned
slightly smiling face,1F642,🙂,Smileys & Emotion,face-smiling
slot machine,1F3B0,🎰,Activities,game
sloth,1F9A5,🦥,Animals & Nature,animal-mammal
small airplane,1F6E9,🛩,Travel & Places,transport-air
small blue diamond,1F539,🔹,Symbols,geometric
small orange diamond,1F538,🔸,Symbols,geometric
red triangle pointed up,1F53A,🔺,Symbols,geometric
red triangle pointed down,1F53B,🔻,Symbols,geometric
grinning face with smiling eyes,1F604,😄,Smileys & Emotion,face-smiling
grinning cat with smiling eyes,1F638,😸,Smileys & Emotion,cat-face
grinning face with big eyes,1F603,😃,Smileys & Emotion,face-smiling
grinning cat,1F63A,😺,Smileys & Emotion,cat-face
smiling face with hearts,1F970,🥰,Smileys & Emotion,face-affection
smiling face with horns,1F608,😈,Smileys & Emotion,face-negative
smirking face,1F60F,😏,Smileys & Emotion,face-neutral-skeptical
cat with wry smile,1F63C,😼,Smileys & Emotion,cat-face
cigarette,1F6AC,🚬,Objects,other-object
snail,1F40C,🐌,Animals & Nature,animal-bug
snake,1F40D,🐍,Animals & Nature,animal-reptile
sneezing face,1F927,🤧,Smileys & Emotion,face-unwell
snowboarder,1F3C2,🏂,People & Body,person-sport
snowflake,2744,❄,Travel & Places,sky & weather
snowman without snow,26C4,⛄,Travel & Places,sky & weather
snowman,2603,☃,Travel & Places,sky & weather
soap,1F9FC,🧼,Objects,household
loudly crying face,1F62D,😭,Smileys & Emotion,face-concerned
soccer ball,26BD,⚽,Activities,sport
socks,1F9E6,🧦,Objects,clothing
softball,1F94E,🥎,Activities,sport
SOON arrow,1F51C,🔜,Symbols,arrow
SOS button,1F198,🆘,Symbols,alphanum
speaker medium volume,1F509,🔉,Objects,sound
alien monster,1F47E,👾,Smileys & Emotion,face-costume
spade suit,2660,♠,Activities,game
spaghetti,1F35D,🍝,Food & Drink,food-asian
sparkle,2747,❇,Symbols,other-symbol
sparkler,1F387,🎇,Activities,event
sparkles,2728,✨,Activities,event
sparkling heart,1F496,💖,Smileys & Emotion,emotion
speak-no-evil monkey,1F64A,🙊,Smileys & Emotion,monkey-face
speaker low volume,1F508,🔈,Objects,sound
speaking head,1F5E3,🗣,People & Body,person-symbol
speech balloon,1F4AC,💬,Smileys & Emotion,emotion
speedboat,1F6A4,🚤,Travel & Places,transport-water
spider,1F577,🕷,Animals & Nature,animal-bug
spider web,1F578,🕸,Animals & Nature,animal-bug
spiral calendar,1F5D3,🗓,Objects,office
spiral notepad,1F5D2,🗒,Objects,office
sponge,1F9FD,🧽,Objects,household
spoon,1F944,🥄,Food & Drink,dishware
squid,1F991,🦑,Food & Drink,food-marine
stadium,1F3DF,🏟,Travel & Places,place-building
person standing,1F9CD,🧍,People & Body,person-activity
person standing,1F9CD,🧍,People & Body,person-activity
person standing,1F9CD,🧍,People & Body,person-activity
star,2B50,⭐,Travel & Places,sky & weather
glowing star,1F31F,🌟,Travel & Places,sky & weather
star and crescent,262A,☪,Symbols,religion
star of David,2721,✡,Symbols,religion
star-struck,1F929,🤩,Smileys & Emotion,face-affection
shooting star,1F320,🌠,Travel & Places,sky & weather
station,1F689,🚉,Travel & Places,transport-ground
Statue of Liberty,1F5FD,🗽,Travel & Places,place-building
locomotive,1F682,🚂,Travel & Places,transport-ground
stethoscope,1FA7A,🩺,Objects,medical
pot of food,1F372,🍲,Food & Drink,food-prepared
stop button,23F9,⏹,Symbols,av-symbol
stop sign,1F6D1,🛑,Travel & Places,transport-ground
stopwatch,23F1,⏱,Travel & Places,time
straight ruler,1F4CF,📏,Objects,office
strawberry,1F353,🍓,Food & Drink,food-fruit
face with tongue,1F61B,😛,Smileys & Emotion,face-tongue
squinting face with tongue,1F61D,😝,Smileys & Emotion,face-tongue
winking face with tongue,1F61C,😜,Smileys & Emotion,face-tongue
person,1F9D1,🧑,People & Body,person
studio microphone,1F399,🎙,Objects,music
stuffed flatbread,1F959,🥙,Food & Drink,food-prepared
sun behind large cloud,1F325,🌥,Travel & Places,sky & weather
sun behind rain cloud,1F326,🌦,Travel & Places,sky & weather
sun behind small cloud,1F324,🌤,Travel & Places,sky & weather
sun with face,1F31E,🌞,Travel & Places,sky & weather
sunflower,1F33B,🌻,Animals & Nature,plant-flower
smiling face with sunglasses,1F60E,😎,Smileys & Emotion,face-glasses
sun,2600,☀,Travel & Places,sky & weather
sunrise,1F305,🌅,Travel & Places,place-other
sunrise over mountains,1F304,🌄,Travel & Places,place-other
superhero,1F9B8,🦸,People & Body,person-fantasy
superhero,1F9B8,🦸,People & Body,person-fantasy
superhero,1F9B8,🦸,People & Body,person-fantasy
supervillain,1F9B9,🦹,People & Body,person-fantasy
supervillain,1F9B9,🦹,People & Body,person-fantasy
supervillain,1F9B9,🦹,People & Body,person-fantasy
person surfing,1F3C4,🏄,People & Body,person-sport
person surfing,1F3C4,🏄,People & Body,person-sport
person surfing,1F3C4,🏄,People & Body,person-sport
sushi,1F363,🍣,Food & Drink,food-asian
suspension railway,1F69F,🚟,Travel & Places,transport-air
swan,1F9A2,🦢,Animals & Nature,animal-bird
downcast face with sweat,1F613,😓,Smileys & Emotion,face-concerned
sweat droplets,1F4A6,💦,Smileys & Emotion,emotion
grinning face with sweat,1F605,😅,Smileys & Emotion,face-smiling
roasted sweet potato,1F360,🍠,Food & Drink,food-asian
briefs,1FA72,🩲,Objects,clothing
person swimming,1F3CA,🏊,People & Body,person-sport
person swimming,1F3CA,🏊,People & Body,person-sport
person swimming,1F3CA,🏊,People & Body,person-sport
input symbols,1F523,🔣,Symbols,alphanum
synagogue,1F54D,🕍,Travel & Places,place-religious
syringe,1F489,💉,Objects,medical
T-Rex,1F996,🦖,Animals & Nature,animal-reptile
taco,1F32E,🌮,Food & Drink,food-prepared
party popper,1F389,🎉,Activities,event
takeout box,1F961,🥡,Food & Drink,food-asian
tanabata tree,1F38B,🎋,Activities,event
tangerine,1F34A,🍊,Food & Drink,food-fruit
Taurus,2649,♉,Symbols,zodiac
taxi,1F695,🚕,Travel & Places,transport-ground
teacup without handle,1F375,🍵,Food & Drink,drink
person,1F9D1,🧑,People & Body,person
person,1F9D1,🧑,People & Body,person
teddy bear,1F9F8,🧸,Activities,game
telephone,260E,☎,Objects,phone
telephone receiver,1F4DE,📞,Objects,phone
telescope,1F52D,🔭,Objects,science
tennis,1F3BE,🎾,Activities,sport
tent,26FA,⛺,Travel & Places,place-other
test tube,1F9EA,🧪,Objects,science
thermometer,1F321,🌡,Travel & Places,sky & weather
thinking face,1F914,🤔,Smileys & Emotion,face-hand
thought balloon,1F4AD,💭,Smileys & Emotion,emotion
thread,1F9F5,🧵,Activities,arts & crafts
keycap: 3,0033 20E3,3⃣,Symbols,keycap
thumbs down,1F44E,👎,People & Body,hand-fingers-closed
thumbs up,1F44D,👍,People & Body,hand-fingers-closed
ticket,1F3AB,🎫,Activities,event
admission tickets,1F39F,🎟,Activities,event
tiger face,1F42F,🐯,Animals & Nature,animal-mammal
tiger,1F405,🐅,Animals & Nature,animal-mammal
timer clock,23F2,⏲,Travel & Places,time
person tipping hand,1F481,💁,People & Body,person-gesture
person tipping hand,1F481,💁,People & Body,person-gesture
person tipping hand,1F481,💁,People & Body,person-gesture
tired face,1F62B,😫,Smileys & Emotion,face-concerned
trade mark,2122,™,Symbols,other-symbol
